# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
2.5119e+00 2.5772e+00 3.2000e+01 1.3906e-02 1.1981e-02 1.1183e-02 1.0299e-02 4.2434e-03 3.8884e-03 2.3908e-03 3.3469e-03 2.1823e-03 2.9986e-03
2.8184e+00 2.9022e+00 3.1000e+01 2.2711e-02 2.2893e-02 2.0259e-02 2.1852e-02 5.5036e-03 4.6408e-03 6.0653e-03 4.1965e-03 2.2028e-03 1.6299e-03
2.8184e+00 2.7994e+00 3.1000e+01 1.4767e-02 7.6126e-03 9.9294e-03 3.9793e-03 4.1837e-03 4.2291e-03 2.8730e-03 2.4128e-03 8.5748e-04 6.1502e-04
2.8184e+00 2.8190e+00 3.1000e+01 2.1823e-02 2.0042e-02 1.9505e-02 1.8496e-02 3.2037e-03 6.3033e-03 1.8722e-03 5.0149e-03 1.4016e-03 4.8535e-04
2.8184e+00 2.7675e+00 3.1000e+01 1.1277e-02 1.2333e-02 1.9459e-03 9.7281e-03 6.2545e-03 4.8216e-03 9.7443e-04 3.0775e-03 2.1705e-03 2.9750e-04
2.8184e+00 2.7425e+00 3.1000e+01 1.3556e-02 1.1616e-02 2.8585e-03 5.9161e-05 4.5832e-03 3.8782e-03 3.9485e-03 2.1711e-04 8.9649e-04 2.5739e-04
2.8184e+00 2.7992e+00 3.1000e+01 1.5654e-02 1.2528e-02 1.1638e-02 1.0571e-02 5.1375e-03 2.9144e-03 2.0332e-03 1.0314e-03 1.3199e-03 4.8804e-04
2.8184e+00 2.7948e+00 3.1000e+01 2.0590e-02 2.1154e-02 1.8358e-02 2.1423e-02 4.7532e-03 4.6118e-03 2.4996e-03 3.9345e-03 2.0372e-03 1.3432e-03
2.8184e+00 2.8089e+00 3.1000e+01 9.4012e-03 9.0679e-03 4.3294e-03 7.5091e-03 2.6323e-03 3.4676e-03 1.6484e-03 2.0388e-03 8.3975e-04 1.7162e-05
2.8184e+00 2.7278e+00 3.1000e+01 1.1392e-02 1.3263e-02 8.1560e-03 1.0820e-02 3.2866e-03 4.9103e-03 1.4502e-03 4.3074e-03 1.4927e-03 7.9910e-04
2.8184e+00 2.8181e+00 3.1000e+01 1.4685e-02 1.1339e-02 1.0487e-02 8.1524e-03 4.9122e-03 4.7214e-03 3.6426e-03 3.2978e-03 1.8315e-03 8.1028e-04
3.1623e+00 3.3546e+00 3.0000e+01 1.1123e-02 1.0519e-02 3.0053e-03 5.8617e-03 5.8066e-03 4.9443e-03 2.8936e-03 4.2027e-03 2.6700e-03 5.3739e-04
3.1623e+00 3.1072e+00 3.0000e+01 1.0533e-02 1.1814e-02 1.2136e-03 8.3382e-03 3.9764e-03 3.0401e-03 2.8979e-03 1.0915e-03 1.0714e-03 9.6239e-04
