noise_th noise noise_db xNN vNN  xNN+SR vNN+SR xNN+sym vNN+sym xNN+sym+SR vNN+sym+SR xparam vparam
1.12201845 1.08159871 39.00000000 0.00362717 0.00203906 0.00423033 0.00203906 0.00206885 0.00111224 0.00123321 0.00087848 0.00092603 0.00060329
1.12201845 1.08159871 39.00000000 0.00205379 0.00142055 0.00400569 0.00142055 0.00088517 0.00099509 0.00088935 0.00092153 0.00120646 0.00096787
1.12201845 1.08159871 39.00000000 0.00233200 0.00202003 0.00422510 0.00202003 0.00129055 0.00140390 0.00055069 0.00078846 0.00102711 0.00092347
1.12201845 1.11439732 39.00000000 0.00263046 0.00164586 0.00183380 0.00164586 0.00211799 0.00169228 0.00197670 0.00091203 0.00037593 0.00024682
1.12201845 1.11439732 39.00000000 0.00281355 0.00204302 0.00123551 0.00204302 0.00200792 0.00146192 0.00162352 0.00099305 0.00037469 0.00025851
1.12201845 1.11439732 39.00000000 0.00299115 0.00177106 0.00130874 0.00177106 0.00201185 0.00131499 0.00243367 0.00111264 0.00068592 0.00040766
1.12201845 1.11439732 39.00000000 0.00303838 0.00187542 0.00206399 0.00187542 0.00102804 0.00076469 0.00122295 0.00079762 0.00081621 0.00041033
1.12201845 1.11439732 39.00000000 0.00504932 0.00219023 0.00139023 0.00219023 0.00493915 0.00158503 0.00329092 0.00115384 0.00035792 0.00021447
1.12201845 1.11439732 39.00000000 0.00372669 0.00247648 0.00126313 0.00247648 0.00143434 0.00129266 0.00123598 0.00093452 0.00032361 0.00025984
1.12201845 1.11439732 39.00000000 0.00230302 0.00229876 0.00161369 0.00229876 0.00184144 0.00166465 0.00145940 0.00095208 0.00043882 0.00034764
1.12201845 1.11439732 39.00000000 0.00306777 0.00206927 0.00156095 0.00206927 0.00146146 0.00119188 0.00134952 0.00096198 0.00070832 0.00044609
1.12201845 1.11439732 39.00000000 0.00391925 0.00311455 0.00155229 0.00311455 0.00189674 0.00173453 0.00084430 0.00084261 0.00024617 0.00026238
1.12201845 1.11439732 39.00000000 0.00354148 0.00209452 0.00153889 0.00209452 0.00145309 0.00116690 0.00109617 0.00099265 0.00054471 0.00041430
1.12201845 1.08875809 39.00000000 0.00299217 0.00151002 0.00249620 0.00151002 0.00239188 0.00149781 0.00127592 0.00098159 0.00127839 0.00077397
1.12201845 1.08875809 39.00000000 0.00327370 0.00163679 0.00233503 0.00163679 0.00146244 0.00133266 0.00157633 0.00158380 0.00213997 0.00188903
1.12201845 1.08875809 39.00000000 0.00351866 0.00161034 0.00251323 0.00161034 0.00160223 0.00115719 0.00138977 0.00077117 0.00123536 0.00061522
1.12201845 1.08875809 39.00000000 0.00266012 0.00118424 0.00254040 0.00118424 0.00274665 0.00145560 0.00108226 0.00081411 0.00120429 0.00073905
1.12201845 1.08875809 39.00000000 0.00338064 0.00162065 0.00239180 0.00162065 0.00178799 0.00103908 0.00092503 0.00081595 0.00121052 0.00080018
1.12201845 1.08875809 39.00000000 0.00398379 0.00189160 0.00236207 0.00189160 0.00168592 0.00092304 0.00109341 0.00061948 0.00086108 0.00051853
1.12201845 1.08875809 39.00000000 0.00342178 0.00163783 0.00237649 0.00163783 0.00125316 0.00083880 0.00111799 0.00077954 0.00097906 0.00060770
1.12201845 1.08875809 39.00000000 0.00334294 0.00189381 0.00231639 0.00189381 0.00161531 0.00166138 0.00154230 0.00161330 0.00186080 0.00181749
1.12201845 1.08875809 39.00000000 0.00341917 0.00137557 0.00230074 0.00137557 0.00134058 0.00091429 0.00102302 0.00104637 0.00164577 0.00107523
1.12201845 1.08875809 39.00000000 0.00259211 0.00144524 0.00221402 0.00144524 0.00143048 0.00103053 0.00088518 0.00086931 0.00141145 0.00086119
1.12201845 1.13274381 39.00000000 0.00695985 0.00385400 0.00317594 0.00385400 0.00221403 0.00175274 0.00227030 0.00166831 0.00126342 0.00093223
1.12201845 1.13274381 39.00000000 0.00528681 0.00231604 0.00327223 0.00231604 0.00198776 0.00141245 0.00196805 0.00135622 0.00118751 0.00083561
