# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
1.9953e+00 1.9953e+00 3.4000e+01 3.4284e-02 5.3633e-02 1.5545e-02 3.9255e-02 2.4276e-02 4.6139e-02 1.7224e-02 4.3674e-02 1.8284e-04 4.2139e-02
1.9953e+00 1.9953e+00 3.4000e+01 4.2279e-02 5.7485e-02 6.6436e-03 2.2832e-02 2.1754e-02 5.1575e-02 4.3691e-03 4.8583e-02 1.0580e-03 4.0872e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.1599e-02 5.1216e-02 1.0970e-03 4.4162e-02 2.2593e-02 4.9516e-02 1.3618e-02 4.5690e-02 1.4313e-03 3.6639e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.3843e-02 5.6481e-02 2.2593e-02 4.0284e-02 2.0491e-02 5.1318e-02 8.0299e-03 4.0235e-02 1.4469e-03 3.6110e-02
1.9953e+00 1.9953e+00 3.4000e+01 3.3382e-02 5.4979e-02 2.0590e-02 4.6114e-02 1.6434e-02 4.7239e-02 1.2773e-02 4.3389e-02 1.0195e-03 3.1785e-02
2.2387e+00 2.2387e+00 3.3000e+01 4.2457e-02 6.6011e-02 1.2582e-03 4.2359e-02 2.0099e-02 5.6842e-02 3.3861e-04 4.7368e-02 2.4110e-03 3.8752e-02
2.2387e+00 2.2387e+00 3.3000e+01 5.0115e-02 5.9934e-02 2.6117e-02 2.0763e-02 1.7966e-02 4.8634e-02 2.1335e-03 3.8040e-02 9.6428e-04 3.4117e-02
2.2387e+00 2.2387e+00 3.3000e+01 6.4356e-02 6.0557e-02 4.8052e-02 3.8929e-02 2.8058e-02 4.4822e-02 1.2820e-03 4.2233e-02 7.5683e-04 3.2314e-02
2.2387e+00 2.2387e+00 3.3000e+01 4.9279e-02 6.5174e-02 2.4932e-02 5.0602e-02 3.2675e-02 5.0558e-02 2.5593e-03 4.4531e-02 5.4669e-03 4.4212e-02
2.2387e+00 2.2387e+00 3.3000e+01 4.3962e-02 6.7260e-02 2.9683e-02 4.7172e-02 2.6603e-02 5.0643e-02 1.4003e-02 4.8490e-02 8.1239e-04 3.7843e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.5310e-02 5.9024e-02 1.0284e-03 4.6554e-02 1.9787e-02 5.3598e-02 1.8217e-03 4.9867e-02 3.1578e-03 4.2151e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.8460e-02 5.5723e-02 3.6756e-03 3.3189e-02 2.3942e-02 5.0074e-02 9.2089e-06 4.2263e-02 1.2930e-03 4.3231e-02
2.2387e+00 2.2387e+00 3.3000e+01 3.1519e-02 4.9068e-02 1.9168e-02 3.6622e-02 2.5478e-02 4.5691e-02 2.2410e-02 5.2260e-02 5.5721e-04 3.7875e-02
2.2387e+00 2.2387e+00 3.3000e+01 4.3329e-02 5.3531e-02 3.6371e-02 3.5920e-02 3.4122e-02 4.5935e-02 2.4696e-02 4.1701e-02 1.1321e-03 3.3589e-02
2.2387e+00 2.2387e+00 3.3000e+01 4.1868e-02 5.3047e-02 5.7059e-03 2.6028e-02 2.8868e-02 4.6023e-02 5.1774e-03 4.4345e-02 3.6233e-03 3.4398e-02
2.5119e+00 2.5119e+00 3.2000e+01 4.7435e-02 6.0622e-02 5.1176e-03 1.4702e-02 3.2660e-02 5.6100e-02 1.2796e-02 4.0741e-02 3.5441e-03 4.3505e-02
2.5119e+00 2.5119e+00 3.2000e+01 3.8967e-02 6.6448e-02 1.3445e-03 4.6939e-02 1.8584e-02 5.2950e-02 1.2053e-03 4.9254e-02 5.1347e-03 4.3072e-02
2.5119e+00 2.5119e+00 3.2000e+01 4.5316e-02 6.7452e-02 2.9828e-02 5.5038e-02 2.0572e-02 5.4047e-02 1.0456e-03 5.0400e-02 1.2647e-04 4.7236e-02
2.5119e+00 2.5119e+00 3.2000e+01 6.5608e-02 7.4929e-02 4.8851e-02 5.0517e-02 3.3650e-02 4.9516e-02 2.4569e-02 4.2486e-02 2.4402e-03 3.3672e-02
2.5119e+00 2.5119e+00 3.2000e+01 4.0629e-02 6.0967e-02 2.3489e-02 4.5495e-02 1.7561e-02 4.7716e-02 7.1541e-04 4.5548e-02 1.4413e-04 3.8354e-02
2.5119e+00 2.5119e+00 3.2000e+01 5.4120e-02 6.9207e-02 3.7879e-02 6.3564e-02 1.8339e-02 4.6233e-02 1.7918e-03 4.1503e-02 3.8974e-03 3.9473e-02
2.5119e+00 2.5119e+00 3.2000e+01 4.4097e-02 5.6021e-02 2.8818e-02 4.5739e-02 2.8470e-02 5.1998e-02 2.1678e-03 4.0524e-02 1.1303e-04 3.5823e-02
2.5119e+00 2.5119e+00 3.2000e+01 4.7882e-02 6.4511e-02 2.4177e-02 5.3586e-02 2.8738e-02 5.0606e-02 3.0097e-03 4.3822e-02 3.1200e-03 4.2332e-02
2.5119e+00 2.5119e+00 3.2000e+01 7.1126e-02 8.3160e-02 6.0517e-02 6.1288e-02 2.4532e-02 4.9820e-02 1.2270e-02 1.9184e-02 3.2449e-03 3.3497e-02
2.5119e+00 2.5119e+00 3.2000e+01 8.7446e-02 9.5606e-02 7.6408e-02 8.6586e-02 2.1189e-02 4.9932e-02 1.7712e-02 4.6254e-02 3.2270e-03 3.8427e-02
2.8184e+00 2.8184e+00 3.1000e+01 4.0304e-02 5.4183e-02 7.4889e-04 4.3650e-02 2.5776e-02 5.1770e-02 5.1143e-04 4.4592e-02 2.6664e-03 4.0656e-02
2.8184e+00 2.8184e+00 3.1000e+01 5.4636e-02 7.2445e-02 3.1646e-02 3.7817e-02 2.3895e-02 5.0262e-02 5.7824e-03 4.7526e-02 4.3451e-03 4.0302e-02
2.8184e+00 2.8184e+00 3.1000e+01 5.2317e-02 6.4705e-02 4.5825e-02 4.5551e-02 1.6991e-02 4.8864e-02 9.5629e-03 4.4164e-02 4.1918e-04 3.5193e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.9556e-02 5.7080e-02 9.6144e-03 3.7504e-02 2.3192e-02 5.1146e-02 7.4908e-03 4.8226e-02 5.1694e-04 4.2342e-02
2.8184e+00 2.8184e+00 3.1000e+01 6.4457e-02 6.0671e-02 4.0209e-02 3.6726e-02 3.2414e-02 5.4946e-02 1.1696e-04 5.3260e-02 5.0791e-03 3.5946e-02
2.8184e+00 2.8184e+00 3.1000e+01 5.2055e-02 6.3949e-02 3.2564e-02 3.9084e-02 2.7706e-02 5.1669e-02 3.9215e-03 5.1683e-02 2.9695e-03 4.3166e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.2327e-02 5.8484e-02 9.9698e-04 3.9568e-02 1.5123e-02 5.3769e-02 8.6819e-03 4.7416e-02 4.4991e-03 4.3143e-02
2.8184e+00 2.8184e+00 3.1000e+01 4.9363e-02 7.0696e-02 2.2118e-02 5.3720e-02 2.3835e-02 5.5642e-02 1.4187e-02 5.0288e-02 5.5887e-03 4.2481e-02
2.8184e+00 2.8184e+00 3.1000e+01 4.2583e-02 6.2718e-02 2.2744e-02 4.9322e-02 2.3672e-02 5.4688e-02 1.3325e-02 4.8125e-02 5.6366e-03 4.8324e-02
2.8184e+00 2.8184e+00 3.1000e+01 4.4183e-02 5.3508e-02 3.0910e-02 4.0306e-02 2.6365e-02 4.4977e-02 1.9057e-02 3.7366e-02 9.7424e-04 3.7247e-02
3.1623e+00 3.1623e+00 3.0000e+01 4.9937e-02 6.9726e-02 3.2421e-03 4.3318e-02 2.7526e-02 5.5966e-02 3.0015e-03 4.8935e-02 1.8687e-03 3.8999e-02
3.1623e+00 3.1623e+00 3.0000e+01 1.0401e-01 1.0575e-01 8.8722e-02 8.1396e-02 2.1536e-02 5.0069e-02 8.2256e-03 4.8260e-02 8.8747e-03 3.8819e-02
3.1623e+00 3.1623e+00 3.0000e+01 5.8219e-02 7.8515e-02 3.7222e-02 3.8899e-02 1.8500e-02 5.4737e-02 1.4027e-03 5.1601e-02 3.5190e-03 3.8756e-02
3.1623e+00 3.1623e+00 3.0000e+01 4.3453e-02 5.8327e-02 4.1895e-03 1.8386e-02 3.1750e-02 4.9729e-02 3.3312e-04 4.4066e-02 1.9490e-03 4.4554e-02
3.1623e+00 3.1623e+00 3.0000e+01 4.8100e-02 6.0738e-02 3.8799e-03 2.9845e-02 2.6774e-02 4.7824e-02 4.9260e-03 4.2128e-02 3.3145e-03 3.9208e-02
3.1623e+00 3.1623e+00 3.0000e+01 5.7630e-02 6.8370e-02 7.5453e-04 4.6816e-02 3.2600e-02 5.8536e-02 7.4441e-04 5.0672e-02 1.3204e-03 5.1362e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.1456e-02 5.6307e-02 3.5865e-03 1.6486e-02 1.6998e-02 4.4951e-02 5.9577e-03 3.6864e-02 2.6557e-03 3.2165e-02
3.1623e+00 3.1623e+00 3.0000e+01 5.2273e-02 7.6996e-02 3.9189e-02 5.1068e-02 1.5837e-02 5.0680e-02 4.9134e-03 4.2757e-02 3.7395e-03 4.1443e-02
3.1623e+00 3.1623e+00 3.0000e+01 5.9044e-02 7.0976e-02 3.5188e-03 2.0540e-02 2.6363e-02 4.9793e-02 9.3587e-03 1.8519e-02 1.2108e-02 2.6314e-02
3.1623e+00 3.1623e+00 3.0000e+01 3.5761e-02 6.0835e-02 6.6752e-03 4.0793e-02 2.0261e-02 5.6499e-02 4.0871e-03 4.3911e-02 5.4352e-03 3.5093e-02
3.5481e+00 3.5481e+00 2.9000e+01 5.1201e-02 6.8380e-02 1.1447e-02 4.5067e-02 2.6144e-02 5.3251e-02 1.5841e-02 4.0146e-02 1.2007e-02 3.2454e-02
3.5481e+00 3.5481e+00 2.9000e+01 5.1152e-02 6.6512e-02 2.2160e-02 1.6789e-02 3.2156e-02 4.3266e-02 2.2928e-02 3.4417e-02 9.4518e-04 3.5344e-02
3.5481e+00 3.5481e+00 2.9000e+01 4.3744e-02 7.2028e-02 8.5945e-04 5.8786e-02 2.9647e-02 5.1532e-02 1.3135e-03 4.6773e-02 5.4392e-03 4.1077e-02
3.5481e+00 3.5481e+00 2.9000e+01 5.7748e-02 5.3799e-02 3.4622e-02 1.6184e-02 2.8635e-02 4.4191e-02 2.5361e-03 3.8549e-02 3.9740e-03 3.3001e-02
3.5481e+00 3.5481e+00 2.9000e+01 4.8796e-02 6.4203e-02 3.1344e-02 4.5015e-02 2.4373e-02 4.6882e-02 8.0815e-03 4.1574e-02 3.4521e-03 3.6392e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.9325e-02 6.2268e-02 4.2178e-03 1.6319e-02 1.9214e-02 4.5166e-02 4.6463e-03 3.5897e-02 1.3785e-03 3.5203e-02
3.5481e+00 3.5481e+00 2.9000e+01 3.4608e-02 6.9795e-02 2.0745e-03 4.7298e-02 1.6723e-02 6.1730e-02 1.5022e-03 4.5346e-02 2.5498e-03 3.4535e-02
3.5481e+00 3.5481e+00 2.9000e+01 7.4187e-02 7.4109e-02 4.5345e-02 4.3777e-02 3.2696e-02 5.1036e-02 1.4622e-02 1.8433e-02 1.2382e-02 3.1157e-02
3.5481e+00 3.5481e+00 2.9000e+01 6.5978e-02 8.7257e-02 4.4705e-02 4.3756e-02 3.3367e-02 6.2007e-02 1.4665e-03 3.6571e-02 3.6276e-04 2.8647e-02
3.5481e+00 3.5481e+00 2.9000e+01 6.6039e-02 7.8665e-02 5.3702e-02 4.6475e-02 3.6738e-02 5.1222e-02 2.9666e-02 3.7068e-02 7.6348e-03 3.0019e-02
3.9811e+00 3.9811e+00 2.8000e+01 8.1170e-02 7.9966e-02 1.2542e-02 1.0958e-02 6.0875e-02 7.1926e-02 8.4830e-03 5.2337e-02 6.6299e-03 5.6209e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.2997e-01 1.4060e-01 1.2181e-01 1.3018e-01 2.4319e-02 3.6678e-02 2.3008e-03 3.0952e-02 3.6097e-03 3.2099e-02
3.9811e+00 3.9811e+00 2.8000e+01 7.8421e-02 8.0837e-02 5.4741e-02 6.5490e-02 3.7234e-02 5.5044e-02 1.1173e-03 4.1862e-02 3.8414e-04 4.4873e-02
3.9811e+00 3.9811e+00 2.8000e+01 5.7976e-02 8.0456e-02 3.2848e-02 4.2414e-02 2.4236e-02 4.4095e-02 1.3067e-03 4.0418e-02 1.8987e-04 2.9088e-02
3.9811e+00 3.9811e+00 2.8000e+01 8.8609e-02 1.0424e-01 7.6662e-02 8.1144e-02 2.4882e-02 4.7122e-02 4.7836e-04 3.9978e-02 3.9148e-03 3.5054e-02
