# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
6.3096e+00 6.1329e+00 2.4000e+01 2.0405e-01 8.4327e-02 1.9945e-01 8.5425e-02 7.1428e-03 7.9812e-04
6.3096e+00 6.5450e+00 2.4000e+01 2.0468e-01 9.0375e-02 1.9885e-01 8.8347e-02 2.0303e-03 1.3161e-03
6.3096e+00 6.1795e+00 2.4000e+01 2.0377e-01 8.6020e-02 1.9667e-01 8.0145e-02 4.3833e-03 1.1237e-03
6.3096e+00 6.2167e+00 2.4000e+01 2.0266e-01 8.1701e-02 1.9590e-01 7.7084e-02 9.5976e-03 5.0173e-04
6.3096e+00 6.3001e+00 2.4000e+01 2.0137e-01 7.5770e-02 1.9529e-01 7.6161e-02 2.7447e-03 2.4676e-03
6.3096e+00 6.4427e+00 2.4000e+01 2.0096e-01 7.7470e-02 1.9413e-01 7.4961e-02 2.9199e-03 2.1179e-03
6.3096e+00 6.2714e+00 2.4000e+01 2.0374e-01 8.5013e-02 1.9758e-01 8.5138e-02 2.9993e-03 3.6515e-04
6.3096e+00 6.2350e+00 2.4000e+01 2.0316e-01 8.4094e-02 1.9956e-01 9.0586e-02 8.2377e-03 3.3929e-04
6.3096e+00 6.4467e+00 2.4000e+01 2.0519e-01 9.1086e-02 2.0184e-01 9.7024e-02 7.7886e-03 5.5333e-04
6.3096e+00 6.4494e+00 2.4000e+01 2.0024e-01 7.1478e-02 1.9592e-01 7.2885e-02 2.7353e-03 7.1579e-04
7.0795e+00 7.0041e+00 2.3000e+01 2.0247e-01 8.0969e-02 2.0009e-01 8.9404e-02 7.8646e-03 1.0068e-03
7.0795e+00 7.1320e+00 2.3000e+01 2.0127e-01 8.3697e-02 1.9789e-01 8.6228e-02 1.0392e-02 2.8950e-04
7.0795e+00 7.1373e+00 2.3000e+01 2.0618e-01 8.9589e-02 1.9813e-01 7.7946e-02 5.3651e-03 2.3821e-03
7.0795e+00 7.1989e+00 2.3000e+01 2.0309e-01 8.1126e-02 1.9558e-01 7.5895e-02 4.0372e-03 3.8794e-04
7.0795e+00 7.0776e+00 2.3000e+01 2.0328e-01 7.1410e-02 1.9643e-01 7.1291e-02 1.6611e-03 1.8073e-03
7.0795e+00 6.9699e+00 2.3000e+01 2.0162e-01 7.0036e-02 1.9698e-01 7.2463e-02 9.0367e-04 3.2064e-03
7.0795e+00 7.2730e+00 2.3000e+01 2.0328e-01 7.9598e-02 1.9736e-01 7.9449e-02 6.2567e-03 3.2730e-03
7.0795e+00 7.1733e+00 2.3000e+01 2.0176e-01 7.4719e-02 1.9529e-01 7.4373e-02 7.7040e-03 1.1219e-03
7.0795e+00 6.8428e+00 2.3000e+01 2.0456e-01 8.5654e-02 2.0188e-01 8.8539e-02 6.2459e-03 1.6209e-03
7.0795e+00 6.7939e+00 2.3000e+01 2.0395e-01 9.2379e-02 1.9851e-01 9.1724e-02 1.6930e-03 1.3002e-03
7.9433e+00 7.9915e+00 2.2000e+01 2.0290e-01 7.9942e-02 1.9926e-01 7.7131e-02 9.4124e-03 4.6739e-03
7.9433e+00 7.8169e+00 2.2000e+01 2.0350e-01 8.0548e-02 2.0035e-01 9.0036e-02 6.6605e-03 3.7555e-03
7.9433e+00 8.2154e+00 2.2000e+01 2.0809e-01 1.0320e-01 1.9964e-01 8.9999e-02 5.4616e-03 1.9224e-03
7.9433e+00 7.9455e+00 2.2000e+01 2.0057e-01 7.8909e-02 1.9601e-01 8.4279e-02 4.0095e-03 1.8786e-03
7.9433e+00 7.7810e+00 2.2000e+01 2.0615e-01 9.0389e-02 1.9746e-01 8.3449e-02 4.5387e-03 7.0582e-04
7.9433e+00 8.1308e+00 2.2000e+01 2.0078e-01 7.0535e-02 1.9427e-01 7.2087e-02 8.1998e-03 3.2788e-04
7.9433e+00 7.8565e+00 2.2000e+01 2.0692e-01 9.5383e-02 1.9884e-01 8.4841e-02 4.1082e-03 2.1692e-03
