# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
7.0795e+00 7.0795e+00 2.3000e+01 3.4897e-01 2.4311e-02 4.3367e-01 5.6665e-02 4.0111e-01 2.1708e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.5950e-01 5.4568e-02 4.2484e-01 9.4594e-02 4.0099e-01 5.2317e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.5803e-01 3.5484e-02 4.3306e-01 8.0955e-02 4.0642e-01 3.5418e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.4472e-01 2.9162e-02 4.2903e-01 7.0060e-02 4.0005e-01 2.5887e-02
7.0795e+00 7.0795e+00 2.3000e+01 3.6777e-01 2.5517e-02 4.3085e-01 6.0683e-02 3.9981e-01 2.2277e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.5490e-01 3.4013e-02 4.3427e-01 7.2369e-02 4.0223e-01 3.3603e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.4557e-01 3.8152e-02 4.3203e-01 7.6076e-02 4.0086e-01 3.4454e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.8651e-01 2.6592e-02 4.3294e-01 6.3229e-02 3.9936e-01 2.5949e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.6044e-01 4.0489e-02 4.2163e-01 8.0751e-02 4.0045e-01 4.0639e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.5694e-01 4.4564e-02 4.3276e-01 8.9572e-02 4.0095e-01 4.2631e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.6771e-01 2.6944e-02 4.2792e-01 6.3486e-02 3.9935e-01 2.8236e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.4458e-01 1.7373e-02 4.4721e-01 5.2026e-02 4.0628e-01 1.8898e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.5436e-01 4.3462e-02 4.3094e-01 8.5496e-02 4.0459e-01 4.1886e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.8624e-01 2.7031e-02 4.4009e-01 6.9944e-02 4.0672e-01 2.7768e-02
7.9433e+00 7.9433e+00 2.2000e+01 3.5770e-01 2.9135e-02 4.2668e-01 6.8714e-02 3.9935e-01 3.0442e-02
8.9125e+00 8.9125e+00 2.1000e+01 3.9352e-01 4.2864e-02 4.1692e-01 9.2449e-02 4.0813e-01 4.3044e-02
