# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
2.8184e+00 2.8184e+00 3.1000e+01 2.2230e-03 3.9491e-02 2.2228e-03 2.2521e-02 2.4632e-03 1.0216e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.0198e-03 3.3029e-02 3.0663e-03 2.2443e-02 3.1392e-03 1.2242e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.1244e-03 4.0718e-02 3.2535e-03 1.2936e-02 3.1711e-03 2.2522e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.0517e-04 2.5844e-02 2.1345e-04 1.6111e-02 2.1148e-04 1.6111e-02
2.8184e+00 2.8184e+00 3.1000e+01 1.2893e-03 3.8139e-02 1.0676e-03 1.0392e-02 1.0644e-03 1.0393e-02
2.8184e+00 2.8184e+00 3.1000e+01 5.5783e-03 3.6014e-02 5.6401e-03 2.2511e-02 5.7222e-03 1.1603e-02
2.8184e+00 2.8184e+00 3.1000e+01 3.4208e-03 4.2914e-02 3.6377e-03 1.3508e-02 3.6426e-03 1.3508e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.0915e-03 4.0064e-02 1.8188e-03 1.1482e-02 1.8189e-03 1.1450e-02
3.1623e+00 3.1623e+00 3.0000e+01 6.1553e-03 4.1404e-02 5.5017e-02 1.0818e-02 6.2638e-03 1.0729e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.8907e-03 4.0120e-02 3.0058e-03 2.2488e-02 3.1264e-03 1.1569e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.3986e-03 4.2643e-02 2.4511e-03 1.6272e-02 2.5741e-03 1.2913e-02
3.1623e+00 3.1623e+00 3.0000e+01 5.1155e-03 3.9479e-02 5.2393e-03 1.0271e-02 5.2464e-03 1.0277e-02
3.1623e+00 3.1623e+00 3.0000e+01 5.5833e-03 4.8786e-02 5.9754e-03 1.0365e-02 5.9727e-03 1.0369e-02
3.1623e+00 3.1623e+00 3.0000e+01 4.3592e-05 2.7165e-02 3.9810e-05 1.5711e-02 5.1427e-05 1.5702e-02
3.1623e+00 3.1623e+00 3.0000e+01 2.3610e-03 4.1799e-02 2.4847e-03 2.2528e-02 2.5665e-03 1.1504e-02
