# x	res_f2_nosym	res_f2_sym	res_f2_NN_SR
9.32188754e-01	-1.08783529e-02	-9.75388147e-03	2.24866532e-03
9.06738084e-01	-4.90555368e-03	-8.80073212e-03	2.24866532e-03
8.81247571e-01	-3.26598714e-03	-7.87788162e-03	2.24866532e-03
8.55738291e-01	-2.19068001e-03	-7.36887823e-03	2.24866532e-03
8.30239878e-01	7.47916542e-04	-3.46660868e-03	2.24866532e-03
8.04777952e-01	4.50450186e-04	-2.80178785e-03	2.24866532e-03
7.79373588e-01	-2.96636973e-03	-5.25846635e-03	2.24866532e-03
7.54043317e-01	-9.37790968e-03	-1.06373558e-02	2.24866532e-03
7.28801424e-01	-1.43094176e-02	-1.41403490e-02	2.24866532e-03
7.03662704e-01	-4.77086655e-03	-8.64206902e-03	2.24866532e-03
6.78634441e-01	2.07515827e-03	-3.68044504e-03	2.24866532e-03
6.53719759e-01	6.80974085e-03	-5.17074416e-05	2.24866532e-03
6.28917815e-01	1.00400623e-02	2.13961570e-03	2.24866532e-03
6.04223797e-01	7.69089644e-03	3.12437599e-03	2.24866532e-03
5.79635099e-01	1.01748138e-02	3.53679348e-03	2.24866532e-03
5.55160568e-01	9.82085502e-03	2.73928677e-03	2.24866532e-03
5.30796422e-01	7.48668720e-03	2.81705071e-03	2.24866532e-03
5.06535899e-01	3.28384823e-03	1.41574925e-03	2.24866532e-03
4.82369952e-01	1.09756873e-03	-5.65669081e-04	2.24866532e-03
4.58287250e-01	-2.25491268e-03	-2.47515184e-03	2.24866532e-03
4.34279647e-01	-7.18448448e-03	-4.94615125e-03	2.24866532e-03
4.10350919e-01	-1.17494216e-02	-7.97898075e-03	2.24866532e-03
3.86492527e-01	-1.25336686e-02	-7.48253260e-03	2.24866532e-03
3.62693742e-01	-1.41518757e-02	-8.13341593e-03	2.24866532e-03
3.38942501e-01	-1.13110470e-02	-7.59562126e-03	2.24866532e-03
3.15225414e-01	-9.61913241e-03	-6.39875306e-03	2.24866532e-03
2.91527763e-01	-8.99104808e-03	-5.71005080e-03	2.24866532e-03
2.67833498e-01	-9.34525280e-03	-6.00342899e-03	2.24866532e-03
2.44132468e-01	-1.06020721e-02	-7.19943665e-03	2.24866532e-03
2.20431404e-01	-1.26817973e-02	-8.70493065e-03	2.24866532e-03
1.96722710e-01	-1.32703216e-02	-9.84216050e-03	2.24866532e-03
1.72997627e-01	-9.14831761e-03	-9.22802393e-03	2.24866532e-03
1.49247301e-01	-5.60727760e-03	-8.55362460e-03	2.24866532e-03
1.25462788e-01	-2.57261148e-03	-7.41170397e-03	2.24866532e-03
1.01635046e-01	-2.15959375e-04	-6.18781579e-03	2.24866532e-03
7.77549421e-02	2.04050408e-03	-5.08769734e-03	2.24866532e-03
5.38166647e-02	1.35442264e-03	-4.31462728e-03	2.24866532e-03
2.98226619e-02	-1.28545479e-03	-3.72567826e-03	2.24866532e-03
5.76926093e-03	-3.70680115e-03	-4.31108608e-03	2.24866532e-03
-1.83472045e-02	-4.31343857e-03	-5.08367587e-03	2.24866532e-03
-4.25299223e-02	-4.18278985e-04	-4.46508419e-03	2.24866532e-03
-6.67816014e-02	3.64087847e-03	-3.60805216e-03	2.24866532e-03
-9.11044726e-02	5.71560125e-03	-2.51176198e-03	2.24866532e-03
-1.15500288e-01	7.01269405e-03	-1.29540368e-03	2.24866532e-03
-1.39968939e-01	7.94152502e-03	-4.11760419e-05	2.24866532e-03
-1.64506559e-01	6.48503865e-03	1.11653771e-03	2.24866532e-03
-1.89111197e-01	5.62151575e-03	6.01076129e-04	2.24866532e-03
-2.13780373e-01	5.44522850e-03	8.46774862e-04	2.24866532e-03
-2.38510902e-01	4.23321120e-03	-9.62928013e-04	2.24866532e-03
-2.63298893e-01	-1.34000562e-03	-2.36235939e-03	2.24866532e-03
