# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
3.1623e+00 3.1623e+00 3.0000e+01 1.2142e+00 1.1439e+00 9.7977e-01 1.6378e+00 3.0440e-01 2.5661e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.3301e+00 1.1163e+00 1.0520e+00 1.4849e+00 2.9009e-01 4.6371e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.3421e+00 1.1322e+00 1.0431e+00 1.5717e+00 3.1930e-01 3.7747e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.2881e+00 1.1555e+00 1.0109e+00 1.6072e+00 3.3251e-01 3.6175e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.2786e+00 1.1196e+00 1.0295e+00 1.5391e+00 3.1269e-01 2.8047e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.2241e+00 1.2091e+00 1.0324e+00 1.5017e+00 3.1459e-01 3.0448e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.2327e+00 1.1209e+00 9.9657e-01 1.5641e+00 3.5014e-01 3.0868e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.2820e+00 1.1244e+00 1.0069e+00 1.6298e+00 3.2456e-01 3.3113e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.3194e+00 1.1240e+00 1.0114e+00 1.6664e+00 3.2248e-01 3.3741e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.2983e+00 1.1133e+00 1.0526e+00 1.4303e+00 3.2465e-01 3.7465e-02
3.5481e+00 3.5481e+00 2.9000e+01 1.2881e+00 1.1435e+00 1.0478e+00 1.4686e+00 3.4437e-01 2.1537e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.2621e+00 1.1374e+00 1.0007e+00 1.6880e+00 3.2155e-01 2.9756e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.2950e+00 1.1622e+00 1.0632e+00 1.4987e+00 3.3162e-01 3.0435e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.2994e+00 1.1489e+00 1.0208e+00 1.6330e+00 2.9729e-01 4.2015e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.3002e+00 1.1104e+00 1.0103e+00 1.5389e+00 3.3978e-01 3.2969e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.3428e+00 1.0970e+00 1.0074e+00 1.6355e+00 3.2374e-01 3.3299e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.3467e+00 1.1593e+00 1.0460e+00 1.5670e+00 3.2686e-01 3.0463e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.3803e+00 1.1131e+00 1.0595e+00 1.5388e+00 3.4500e-01 3.4111e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.3109e+00 1.0801e+00 1.0056e+00 1.6303e+00 3.3074e-01 3.4800e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.2966e+00 1.1402e+00 1.0665e+00 1.4400e+00 3.2490e-01 3.2858e-02
3.9811e+00 3.9811e+00 2.8000e+01 1.2900e+00 1.1416e+00 9.8820e-01 1.6682e+00 3.3110e-01 3.5720e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.3884e+00 1.0881e+00 1.0214e+00 1.6638e+00 3.3814e-01 2.5028e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.3273e+00 1.1096e+00 9.9527e-01 1.6965e+00 3.3529e-01 3.6882e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.3724e+00 1.0754e+00 9.9837e-01 1.6425e+00 3.3625e-01 2.8950e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.3344e+00 1.1027e+00 1.0200e+00 1.7339e+00 3.1276e-01 4.3200e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.3259e+00 1.1400e+00 1.0494e+00 1.5139e+00 3.5068e-01 2.2962e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.2733e+00 1.1105e+00 9.8314e-01 1.7132e+00 3.5367e-01 2.9635e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.3850e+00 1.1735e+00 1.1168e+00 1.4832e+00 3.4389e-01 3.0712e-02
4.4668e+00 4.4668e+00 2.7000e+01 1.3189e+00 1.1313e+00 9.9571e-01 1.6945e+00 3.2881e-01 3.8299e-02
