# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
5.0119e+00 5.0376e+00 2.6000e+01 1.6542e-03 6.4176e-04 1.9973e-02 1.4145e-03 1.9935e-02 1.3988e-03
5.0119e+00 5.1114e+00 2.6000e+01 2.7832e-03 2.2895e-04 5.3235e-02 1.9595e-02 1.9820e-02 6.5267e-04
5.0119e+00 5.0949e+00 2.6000e+01 3.3881e-03 2.5247e-03 2.0293e-02 2.2002e-03 2.0292e-02 2.2121e-03
5.0119e+00 4.9421e+00 2.6000e+01 4.4849e-03 6.3348e-04 5.2681e-02 2.0102e-02 2.0121e-02 4.2322e-04
5.0119e+00 5.1571e+00 2.6000e+01 3.5127e-03 9.8316e-05 5.3761e-02 1.9115e-02 1.9850e-02 6.5979e-04
5.0119e+00 5.0376e+00 2.6000e+01 2.8701e-03 9.4691e-04 1.0733e-02 1.0009e-03 2.0267e-02 1.0420e-03
5.0119e+00 4.9646e+00 2.6000e+01 2.6894e-03 8.2551e-04 2.0240e-02 6.4929e-04 2.0247e-02 1.3508e-03
5.0119e+00 5.0606e+00 2.6000e+01 4.2490e-03 1.8143e-04 5.3579e-02 1.9279e-02 1.9910e-02 7.1515e-04
5.0119e+00 4.9372e+00 2.6000e+01 3.5923e-03 1.6757e-03 5.2001e-02 2.0723e-02 1.9843e-02 1.8547e-03
5.6234e+00 5.7968e+00 2.5000e+01 3.5574e-03 6.1124e-05 5.4857e-02 1.8115e-02 1.9880e-02 2.1822e-03
5.6234e+00 5.6249e+00 2.5000e+01 9.7564e-04 1.8487e-03 5.1676e-02 2.1020e-02 1.9907e-02 2.2391e-03
5.6234e+00 5.6697e+00 2.5000e+01 8.6151e-04 2.7021e-04 5.3208e-02 1.9618e-02 1.9873e-02 4.3993e-04
5.6234e+00 5.5898e+00 2.5000e+01 1.5191e-03 1.3846e-03 5.3118e-02 1.9701e-02 1.9802e-02 1.4726e-03
5.6234e+00 5.5894e+00 2.5000e+01 3.3300e-03 1.2207e-03 5.2472e-02 2.0292e-02 1.9821e-02 1.3746e-03
5.6234e+00 5.6531e+00 2.5000e+01 1.2421e-03 1.2493e-03 1.9811e-02 1.7746e-03 1.9812e-02 1.7439e-03
5.6234e+00 5.7025e+00 2.5000e+01 6.8438e-03 6.9745e-04 2.0533e-02 1.3623e-04 2.0538e-02 2.0710e-04
5.6234e+00 5.7830e+00 2.5000e+01 2.8273e-03 8.6037e-04 5.4851e-02 1.8121e-02 1.9815e-02 5.4211e-04
5.6234e+00 5.5223e+00 2.5000e+01 5.8342e-03 2.1832e-03 2.1113e-02 2.3651e-03 2.1118e-02 2.3526e-03
5.6234e+00 5.4735e+00 2.5000e+01 3.8531e-03 2.1063e-04 5.4531e-02 1.8412e-02 1.9853e-02 2.9785e-04
6.3096e+00 6.1481e+00 2.4000e+01 5.5329e-03 1.0354e-04 5.2252e-02 2.0495e-02 3.5846e-02 4.9500e-04
6.3096e+00 6.2295e+00 2.4000e+01 3.1749e-03 9.1670e-04 5.5450e-02 1.7574e-02 1.9798e-02 8.6414e-04
6.3096e+00 6.5425e+00 2.4000e+01 7.5284e-03 2.3689e-03 2.0922e-02 2.1706e-03 3.5928e-02 3.3050e-03
6.3096e+00 6.3276e+00 2.4000e+01 2.0968e-03 3.6419e-04 1.2797e-02 6.2926e-04 1.9904e-02 7.4356e-04
6.3096e+00 6.2686e+00 2.4000e+01 6.5400e-03 2.6941e-03 5.6381e-02 1.6728e-02 2.0297e-02 2.2205e-03
6.3096e+00 6.3365e+00 2.4000e+01 2.9834e-03 6.3795e-04 5.2941e-02 1.9862e-02 1.9797e-02 1.1706e-03
6.3096e+00 6.5289e+00 2.4000e+01 3.9079e-03 5.1141e-04 5.2522e-02 2.0247e-02 2.0417e-02 7.2438e-04
6.3096e+00 6.0713e+00 2.4000e+01 5.0375e-03 1.8565e-03 2.0710e-02 2.4006e-03 2.0707e-02 2.4402e-03
6.3096e+00 6.1961e+00 2.4000e+01 2.8273e-03 1.7085e-03 5.6050e-02 1.7029e-02 1.9807e-02 3.5761e-03
6.3096e+00 6.2006e+00 2.4000e+01 5.3309e-03 3.4322e-03 1.0902e-02 2.7497e-03 2.0931e-02 2.8268e-03
7.0795e+00 7.2227e+00 2.3000e+01 7.0935e-03 1.4074e-03 2.1250e-02 1.5494e-03 2.1244e-02 1.5480e-03
7.0795e+00 7.2922e+00 2.3000e+01 2.0748e-03 4.6746e-03 5.7885e-02 1.5363e-02 1.9801e-02 4.6305e-03
7.0795e+00 7.2233e+00 2.3000e+01 2.3877e-03 1.2859e-03 5.3269e-02 1.9563e-02 3.6222e-02 1.4819e-03
7.0795e+00 7.1181e+00 2.3000e+01 1.8333e-03 1.2675e-03 5.2760e-02 2.0028e-02 1.9902e-02 1.5045e-03
7.0795e+00 7.0623e+00 2.3000e+01 2.3380e-03 3.0372e-03 5.1106e-02 2.1544e-02 2.0033e-02 3.0128e-03
7.0795e+00 7.2944e+00 2.3000e+01 5.5815e-03 1.0929e-03 5.6259e-02 1.6839e-02 2.0030e-02 8.9912e-04
