noise_th noise noise_db xSR vSR xSR-CC vSR-CC xparam vparam
0.00000000 0.00000000 inf 0.00087223 0.00046873 0.00079045 0.00044038 0.00045796 0.00024012
0.00000000 0.00000000 inf 0.00005724 0.00005139 0.00040872 0.00020615 0.00000002 0.00000001
0.00000000 0.00000000 inf 0.00027740 0.00023298 0.00009466 0.00008146 0.00000197 0.00000162
0.00000000 0.00000000 inf 0.00046123 0.00041058 0.00049551 0.00037096 0.00064043 0.00051300
0.00000000 0.00000000 inf 0.00010489 0.00008856 0.00020243 0.00019859 0.00040236 0.00027502
0.00000000 0.00000000 inf 0.00071187 0.00042367 0.00048931 0.00027247 0.00052237 0.00034011
0.00000000 0.00000000 inf 0.00072376 0.00056750 0.00047617 0.00044721 0.00040097 0.00033790
0.00000000 0.00000000 inf 0.00017495 0.00018481 0.00027919 0.00023639 0.00016055 0.00017878
0.00000000 0.00000000 inf 0.00008897 0.00006664 0.00009680 0.00011670 0.00010206 0.00008134
0.00000000 0.00000000 inf 0.00020752 0.00018961 0.00029118 0.00027784 0.00020521 0.00016160
1.00000000 0.98807015 40.00000000 0.00070501 0.00044830 0.00051807 0.00032198 0.00076657 0.00048858
1.00000000 0.98807015 40.00000000 0.00102334 0.00066947 0.00106513 0.00072440 0.00112997 0.00077743
1.00000000 0.98807015 40.00000000 0.00076343 0.00044852 0.00059781 0.00038019 0.00063102 0.00039705
1.00000000 0.98807015 40.00000000 0.00053487 0.00040052 0.00063741 0.00045036 0.00051012 0.00037427
1.00000000 0.98807015 40.00000000 0.00026412 0.00021160 0.00023188 0.00018712 0.00024979 0.00021754
1.00000000 0.98807015 40.00000000 0.00040423 0.00022348 0.00030780 0.00020617 0.00032831 0.00022174
1.00000000 0.98807015 40.00000000 0.00092020 0.00044603 0.00089326 0.00043538 0.00089879 0.00044103
1.00000000 0.98807015 40.00000000 0.00023907 0.00027771 0.00022547 0.00027145 0.00024421 0.00029131
1.00000000 0.98807015 40.00000000 0.00075953 0.00058067 0.00104272 0.00073191 0.00087628 0.00064455
1.00000000 0.98807015 40.00000000 0.00059944 0.00041455 0.00049508 0.00034531 0.00045477 0.00034390
1.00000000 1.02241099 40.00000000 0.00043243 0.00045742 0.00042819 0.00043883 0.00045653 0.00046876
1.00000000 1.02241099 40.00000000 0.00064821 0.00055416 0.00058157 0.00048580 0.00058190 0.00042656
1.00000000 1.02241099 40.00000000 0.00055386 0.00036360 0.00064783 0.00037521 0.00070897 0.00043773
1.00000000 1.02241099 40.00000000 0.00067231 0.00054774 0.00073918 0.00063688 0.00065920 0.00052064
1.00000000 1.02241099 40.00000000 0.00064905 0.00058279 0.00050775 0.00044439 0.00048499 0.00045077
1.00000000 1.02241099 40.00000000 0.00065959 0.00055864 0.00050502 0.00038967 0.00046046 0.00036826
1.00000000 1.02241099 40.00000000 0.00065479 0.00048964 0.00100053 0.00069118 0.00077805 0.00053366
1.00000000 1.02241099 40.00000000 0.00074940 0.00068764 0.00068992 0.00062122 0.00071254 0.00064539
1.00000000 1.02241099 40.00000000 0.00069846 0.00053660 0.00079261 0.00060861 0.00060883 0.00051466
1.00000000 1.02241099 40.00000000 0.00097959 0.00043345 0.00048510 0.00035998 0.00061834 0.00056538
1.00000000 0.96003111 40.00000000 0.00121163 0.00087272 0.00091548 0.00058921 0.00092266 0.00060375
1.00000000 0.96003111 40.00000000 0.00052975 0.00036175 0.00047705 0.00032064 0.00030246 0.00013019
1.00000000 0.96003111 40.00000000 0.00089583 0.00075982 0.00135540 0.00102864 0.00097623 0.00066802
1.00000000 0.96003111 40.00000000 0.00071127 0.00058534 0.00059263 0.00044637 0.00097960 0.00060801
1.00000000 0.96003111 40.00000000 0.00117143 0.00076646 0.00097218 0.00075672 0.00109059 0.00068754
1.00000000 0.96003111 40.00000000 0.00067073 0.00048417 0.00056100 0.00041414 0.00080320 0.00039574
1.00000000 0.96003111 40.00000000 0.00057319 0.00045989 0.00051525 0.00041813 0.00043953 0.00027164
1.00000000 0.96003111 40.00000000 0.00063435 0.00046293 0.00056173 0.00041128 0.00041683 0.00018272
1.00000000 0.96003111 40.00000000 0.00105754 0.00075227 0.00071843 0.00055396 0.00013541 0.00015738
1.00000000 0.96003111 40.00000000 0.00112582 0.00086865 0.00114330 0.00088733 0.00104089 0.00076083
1.00000000 0.96506167 40.00000000 0.00072890 0.00042024 0.00114193 0.00067494 0.00078551 0.00051771
1.00000000 0.96506167 40.00000000 0.00082786 0.00039537 0.00096431 0.00046682 0.00065516 0.00043839
1.00000000 0.96506167 40.00000000 0.00057149 0.00016503 0.00087777 0.00024611 0.00050659 0.00027017
1.00000000 0.96506167 40.00000000 0.00092041 0.00046728 0.00135713 0.00065622 0.00094698 0.00038982
1.00000000 0.96506167 40.00000000 0.00056168 0.00031355 0.00074094 0.00042088 0.00033743 0.00031633
1.00000000 0.96506167 40.00000000 0.00098545 0.00058311 0.00110675 0.00057478 0.00080653 0.00042186
1.00000000 0.96506167 40.00000000 0.00030542 0.00035064 0.00029740 0.00034043 0.00045136 0.00048862
1.00000000 0.96506167 40.00000000 0.00025437 0.00028127 0.00030652 0.00030467 0.00048208 0.00049368
