# noise_perc_th noise_perc SNR_dB SINDy_ku0_f1 SINDy_ku0_f2 SINDy_f1 SINDy_f2 SINDy_Sym_f1 SINDy_Sym_f2 SINDy_Sym_f1_SR SINDy_Sym_f2_SR Poly_f1 Poly_f2 Param_f1 Param_f2
1.7783e+00 1.7783e+00 3.5000e+01 1.6185e-01 2.1768e+00 3.0813e-01 2.7955e-01 2.5361e-01 1.9169e-01 2.5113e-01 1.9432e-01 2.1244e-01 5.0188e-01 1.1600e-03 3.8602e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.5920e-01 1.2843e+00 3.1204e-01 2.8423e-01 2.4645e-01 1.9490e-01 2.5014e-01 1.9408e-01 2.1302e-01 5.0536e-01 1.3069e-03 3.9366e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6759e-01 3.7172e+00 2.9512e-01 2.8385e-01 2.6670e-01 1.9497e-01 2.3881e-01 1.9453e-01 2.1637e-01 5.1228e-01 1.0278e-04 3.6409e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6060e-01 3.1541e+00 3.0072e-01 2.8248e-01 2.5914e-01 1.9814e-01 2.4070e-01 1.9616e-01 2.2856e-01 5.2166e-01 1.7603e-03 4.1506e-02
1.7783e+00 1.7783e+00 3.5000e+01 1.6478e-01 6.5068e-01 3.1167e-01 2.8658e-01 2.5140e-01 1.9899e-01 2.0572e-01 1.9775e-01 2.1244e-01 5.1220e-01 6.7472e-04 4.0272e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6198e-01 9.9504e-01 3.0886e-01 2.8540e-01 2.4874e-01 1.9649e-01 2.4696e-01 1.9794e-01 2.0352e-01 4.9810e-01 3.2818e-03 3.8141e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6022e-01 3.0845e+00 3.0819e-01 2.7704e-01 2.5518e-01 1.9602e-01 2.3336e-01 2.0031e-01 2.2409e-01 5.2154e-01 2.1166e-04 3.9005e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6122e-01 1.2978e+01 3.1638e-01 2.7866e-01 2.5077e-01 1.9029e-01 2.4729e-01 1.9408e-01 2.0610e-01 5.0051e-01 2.0776e-03 3.5546e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6499e-01 4.5510e+00 2.9462e-01 2.7901e-01 2.6282e-01 1.9396e-01 2.5663e-01 1.9732e-01 2.3306e-01 5.2457e-01 2.0827e-03 4.0369e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6065e-01 4.8849e+00 3.0690e-01 2.8051e-01 2.4811e-01 1.9247e-01 2.4858e-01 1.9222e-01 2.2231e-01 5.2349e-01 3.5469e-03 3.6395e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6649e-01 8.5859e-01 3.1353e-01 2.7323e-01 2.5806e-01 1.8726e-01 2.5668e-01 1.9273e-01 2.0634e-01 4.9730e-01 5.4489e-03 3.2553e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6181e-01 2.5738e+00 3.0116e-01 2.7556e-01 2.4556e-01 1.9780e-01 2.3601e-01 1.9177e-01 2.0971e-01 5.2029e-01 2.5186e-03 3.7845e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6026e-01 4.1453e+00 3.0411e-01 2.7100e-01 2.4635e-01 1.9083e-01 2.3152e-01 1.9205e-01 2.1465e-01 5.1105e-01 5.7587e-04 3.4536e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.5940e-01 1.1355e+01 3.1981e-01 2.8777e-01 2.5880e-01 1.9937e-01 2.4879e-01 1.9890e-01 2.1375e-01 5.0703e-01 2.1147e-03 3.9097e-02
1.9953e+00 1.9953e+00 3.4000e+01 1.6591e-01 5.6303e+00 3.0511e-01 2.7699e-01 2.5558e-01 1.9209e-01 2.5503e-01 1.8835e-01 2.1517e-01 5.1001e-01 1.1020e-03 3.6673e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6418e-01 1.0181e+01 3.1050e-01 2.8270e-01 2.5698e-01 1.9210e-01 2.5376e-01 1.9066e-01 2.1035e-01 5.0135e-01 2.3975e-03 3.0388e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6484e-01 3.5278e+00 2.9920e-01 2.9438e-01 2.4818e-01 2.0995e-01 2.4438e-01 2.0442e-01 2.1416e-01 5.2864e-01 3.0723e-03 4.5428e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6422e-01 7.8504e+00 2.8880e-01 2.8706e-01 2.5181e-01 2.0537e-01 2.2631e-01 2.0221e-01 2.2502e-01 5.2555e-01 2.0097e-03 4.3063e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6727e-01 6.8541e+00 2.9353e-01 2.9005e-01 2.5096e-01 2.0516e-01 2.3123e-01 1.9930e-01 2.3709e-01 5.4891e-01 9.8730e-04 4.4117e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6242e-01 1.7165e+01 3.1451e-01 2.7645e-01 2.6328e-01 1.9301e-01 2.5453e-01 1.8989e-01 2.0670e-01 4.9520e-01 5.9832e-03 3.4341e-02
2.2387e+00 2.2387e+00 3.3000e+01 1.6275e-01 4.1110e+00 3.0973e-01 2.8947e-01 2.4981e-01 2.0135e-01 2.3215e-01 1.8787e-01 2.2061e-01 5.2484e-01 1.1421e-03 4.1397e-02
