# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
3.5481e+00 3.5481e+00 2.9000e+01 3.0740e-01 1.0890e-01 3.0416e-01 2.5783e-02 2.5666e-01 1.1160e-01 3.0378e-01 9.4242e-02 3.2475e-01 2.8530e-02
3.5481e+00 3.5481e+00 2.9000e+01 2.7746e-01 1.2597e-01 3.0133e-01 2.6768e-02 2.2926e-01 1.0801e-01 2.5276e-01 9.6288e-02 3.2432e-01 3.1997e-02
3.5481e+00 3.5481e+00 2.9000e+01 2.3206e-01 1.1839e-01 3.0389e-01 1.1624e-02 2.2061e-01 1.0009e-01 2.5488e-01 7.0283e-02 3.1592e-01 3.2265e-02
3.5481e+00 3.5481e+00 2.9000e+01 4.1620e-01 3.1319e-01 4.4933e-01 2.8413e-01 2.4162e-01 8.9681e-02 3.0083e-01 5.3794e-02 3.4356e-01 3.4454e-02
3.5481e+00 3.5481e+00 2.9000e+01 2.7555e-01 1.7875e-01 2.9392e-01 1.1755e-01 2.2989e-01 1.1874e-01 2.5750e-01 6.6722e-02 3.3081e-01 3.1828e-02
3.5481e+00 3.5481e+00 2.9000e+01 2.7611e-01 1.8484e-01 3.0560e-01 1.0884e-01 2.4447e-01 1.4266e-01 3.0577e-01 3.8724e-02 3.2277e-01 2.4969e-02
3.9811e+00 3.9811e+00 2.8000e+01 4.1818e-01 3.1212e-01 4.3174e-01 2.8343e-01 2.7754e-01 1.0693e-01 2.9140e-01 9.4959e-02 3.4451e-01 3.9654e-02
3.9811e+00 3.9811e+00 2.8000e+01 2.6229e-01 1.2093e-01 3.0890e-01 1.0811e-03 2.3571e-01 1.0320e-01 3.0780e-01 7.9720e-02 3.2820e-01 3.1770e-02
3.9811e+00 3.9811e+00 2.8000e+01 2.8367e-01 1.2511e-01 3.1784e-01 9.1615e-02 2.4170e-01 9.2412e-02 2.5894e-01 8.3100e-02 3.3354e-01 3.4533e-02
3.9811e+00 3.9811e+00 2.8000e+01 2.8901e-01 1.3401e-01 3.0634e-01 5.6294e-03 2.4759e-01 9.7901e-02 3.0624e-01 6.8036e-02 3.1419e-01 3.0014e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.0902e-01 2.2252e-01 3.4094e-01 1.8887e-01 2.1220e-01 1.0850e-01 2.5368e-01 6.3613e-02 3.4810e-01 2.9357e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.4686e-01 2.7194e-01 3.8522e-01 2.1180e-01 2.4821e-01 1.2302e-01 2.7313e-01 8.0188e-02 3.3368e-01 3.3808e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.2463e-01 1.7066e-01 3.5921e-01 1.1670e-01 2.4743e-01 1.1033e-01 3.0847e-01 8.1293e-02 3.2381e-01 3.4388e-02
3.9811e+00 3.9811e+00 2.8000e+01 2.3825e-01 9.4093e-02 3.0243e-01 1.6587e-02 2.1724e-01 8.7003e-02 3.0248e-01 6.7443e-02 3.0705e-01 3.1497e-02
3.9811e+00 3.9811e+00 2.8000e+01 2.5132e-01 1.2736e-01 3.0688e-01 7.4999e-02 2.3715e-01 9.6756e-02 2.6625e-01 6.5855e-02 3.2251e-01 3.0916e-02
3.9811e+00 3.9811e+00 2.8000e+01 3.8488e-01 3.0038e-01 4.1307e-01 2.7946e-01 2.4533e-01 9.7333e-02 3.0777e-01 9.4365e-02 3.1470e-01 2.7441e-02
